coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,data_time,time,step
0.107,0.258,0.071,-1.0,0.442,0.083,1.0790295362472535,1.1568345308303833,5.0
0.23,0.497,0.153,-1.0,0.509,0.224,0.004999864669073196,0.08372720082600911,10.0
0.466,0.857,0.451,-1.0,0.715,0.504,0.00550358636038644,0.09954302651541573,15.0
0.463,0.981,0.347,-1.0,0.546,0.476,0.005014499028523763,0.12377593630836123,20.0
0.54,0.982,0.539,-1.0,0.661,0.561,0.0041359833308628625,0.10173220861525763,25.0
0.63,0.982,0.843,-1.0,0.613,0.647,0.0036923658280145553,0.094011352175758,30.0
0.658,0.977,0.773,-1.0,0.767,0.659,0.003995577494303386,0.08960097176688057,35.0
0.698,0.978,0.882,-1.0,0.774,0.708,0.005224750155494327,0.09369098572503953,40.0
0.733,0.979,0.934,-1.0,0.773,0.741,0.0032317524864560083,0.08781304813566662,45.0
0.731,0.976,0.938,-1.0,0.772,0.736,0.004693996338617234,0.08907394182114374,50.0
0.743,0.973,0.953,-1.0,0.787,0.749,0.002622933614821661,0.08729580470493861,55.0
0.714,0.974,0.871,-1.0,0.799,0.711,0.0038340545835949128,0.08942412194751558,60.0
0.683,0.973,0.852,-1.0,0.77,0.689,0.004046349298386346,0.08773741267976307,65.0
0.73,0.973,0.895,-1.0,0.799,0.735,0.005907887504214332,0.09983393124171666,70.0
0.679,0.973,0.82,-1.0,0.773,0.688,0.0048280102866036555,0.15070815313430058,75.0
0.684,0.979,0.824,-1.0,0.753,0.688,0.0040670349484398256,0.12330937385559082,80.0
0.752,0.975,0.948,-1.0,0.76,0.76,0.004136221749441964,0.08473483721415202,85.0
0.686,0.973,0.869,-1.0,0.698,0.699,0.004578930991036552,0.08526114055088588,90.0
0.694,0.983,0.867,-1.0,0.768,0.692,0.005746864137195405,0.08369658106849306,95.0
0.701,0.973,0.909,-1.0,0.746,0.714,0.007299638929821196,0.08373396737234932,100.0
0.731,0.983,0.967,-1.0,0.776,0.732,0.004245167686825707,0.09259668986002605,105.0
0.734,0.974,0.931,-1.0,0.828,0.737,0.005777835845947266,0.12174104508899507,110.0
0.743,0.978,0.944,-1.0,0.797,0.749,0.006497178758893695,0.14769643828982398,115.0
0.714,0.979,0.857,-1.0,0.792,0.724,0.005852404094877697,0.15949973605927967,120.0
0.762,0.98,0.959,-1.0,0.802,0.767,0.004100390842982701,0.15792071251642137,125.0
0.77,0.977,0.933,-1.0,0.822,0.771,0.003904581069946289,0.14107530457632883,130.0
0.771,0.981,0.965,-1.0,0.8,0.776,0.0037713845570882163,0.1402932916368757,135.0
0.769,0.983,0.969,-1.0,0.797,0.776,0.006680999483380999,0.16209446816217332,140.0
0.759,0.983,0.964,-1.0,0.823,0.759,0.006234475544520787,0.13229810623895555,145.0
0.775,0.983,0.964,-1.0,0.806,0.778,0.0049484797886439735,0.15053870564415342,150.0
0.763,0.983,0.962,-1.0,0.798,0.766,0.005169414338611421,0.15863352730160668,155.0
0.771,0.982,0.966,-1.0,0.805,0.773,0.005365144638788132,0.15845641635713123,160.0
0.748,0.98,0.966,-1.0,0.774,0.761,0.0043759118942987354,0.14064112163725354,165.0
0.782,0.983,0.964,-1.0,0.8,0.788,0.004113685517084031,0.13476661273411342,170.0
0.761,0.976,0.963,-1.0,0.813,0.765,0.003448554447719029,0.15325480415707543,175.0
0.771,0.981,0.947,-1.0,0.819,0.775,0.003750960032145182,0.14877831368219285,179.0
0.778,0.978,0.96,-1.0,0.796,0.79,0.003857487723940895,0.1296573934100923,180.0
0.771,0.983,0.964,-1.0,0.816,0.776,0.001976285661969866,0.0729990005493164,181.0
0.77,0.981,0.967,-1.0,0.815,0.77,0.004381633940197173,0.07132014774140857,182.0
0.771,0.982,0.968,-1.0,0.814,0.773,0.014730226425897507,0.09888411703563872,183.0
0.775,0.981,0.962,-1.0,0.824,0.776,0.004984129042852493,0.10319857370285761,184.0
0.748,0.981,0.929,-1.0,0.827,0.75,0.004775569552466983,0.10507683526901972,185.0
0.746,0.978,0.965,-1.0,0.808,0.751,0.0037545590173630487,0.10445141792297363,186.0
0.768,0.981,0.968,-1.0,0.815,0.769,0.004477932339622861,0.10260060855320521,187.0
0.746,0.979,0.96,-1.0,0.798,0.748,0.005855855487641834,0.15134944234575545,188.0
0.775,0.98,0.967,-1.0,0.817,0.777,0.0051106611887613935,0.13974631400335402,189.0
0.773,0.981,0.968,-1.0,0.816,0.773,0.006862890152704148,0.14587814467293875,190.0
0.784,0.984,0.97,-1.0,0.827,0.785,0.004889965057373047,0.13673379307701475,191.0
0.763,0.984,0.949,-1.0,0.835,0.761,0.004937171936035156,0.13419947170075916,192.0
0.761,0.977,0.943,-1.0,0.811,0.762,0.005189089548020135,0.14229767663138254,193.0
0.763,0.976,0.962,-1.0,0.817,0.763,0.007052682694934663,0.14178156852722168,194.0
0.766,0.977,0.964,-1.0,0.806,0.768,0.004821675164358956,0.13564527602422805,195.0
0.778,0.979,0.966,-1.0,0.817,0.779,0.005440314610799153,0.14597421600705102,196.0
0.783,0.982,0.97,-1.0,0.822,0.785,0.005598828906104678,0.1349558943793887,197.0
0.764,0.98,0.966,-1.0,0.816,0.766,0.004946958451043992,0.1327206634339832,198.0
0.766,0.977,0.963,-1.0,0.815,0.767,0.007775000163487026,0.1395954858689081,199.0
0.759,0.978,0.966,-1.0,0.823,0.76,0.004687717982700893,0.15218111446925572,200.0
